mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000006,2022-04-13T17:43:38.000Z,0,0.6275,0.8383,10.4568,Infinity,Infinity,Infinity
,,139.0625,0.6155,0.5317,0.1485,0.7044,0.6085,0.17
,,140.625,0.5844,0.3545,0.0671,0.6614,0.4012,0.0759
,,142.1875,0.7904,0.4575,0.0934,0.8847,0.5121,0.1045
,,143.75,4.1578,3.686,0.5916,4.6034,4.081,0.655
,,145.3125,0.5149,0.2299,0.0311,0.5639,0.2518,0.0341
,,146.875,0.1988,0.0599,0.0407,0.2154,0.0649,0.0441
,,148.4375,0.5916,0.4096,0.0814,0.6343,0.4392,0.0873
,,150,1.0778,1.0826,0.182,1.1436,1.1487,0.1931
,,151.5625,2.6537,0.9844,0.1485,2.7866,1.0337,0.1559
,,153.125,1.2358,0.5197,0.1006,1.2845,0.5402,0.1046
,,154.6875,0.6395,0.1557,0.0527,0.658,0.1602,0.0542
,,156.25,0.6371,0.4862,0.1078,0.6489,0.4952,0.1098
,,157.8125,1.2478,0.582,0.1126,1.2584,0.587,0.1136
,,159.375,2.0765,1.1784,0.3976,2.0736,1.1768,0.3971
,,160.9375,1.8442,1.2454,0.3856,1.8238,1.2316,0.3813
,,162.5,0.3688,0.1078,0.115,0.3612,0.1056,0.1126
,,164.0625,0.2419,0.1245,0.103,0.2347,0.1208,0.0999
,,165.625,0.091,0.2251,0.0958,0.0874,0.2163,0.0921
,,167.1875,0.3353,0.1533,0.0407,0.3192,0.1459,0.0387
,,168.75,0.776,0.5054,0.1198,0.7319,0.4767,0.113
,,170.3125,0.3688,0.1126,0.0695,0.3446,0.1052,0.0649
,,171.875,0.0503,0.1796,0.0958,0.0466,0.1663,0.0887
,,173.4375,0.2251,0.1724,0.0359,0.2066,0.1582,0.0329
,,175,0.1772,0.1293,0.0263,0.1612,0.1176,0.0239
,,176.5625,1.5304,0.6778,0.309,1.3795,0.611,0.2785
,,178.125,0.0551,0.1748,0.0647,0.0492,0.1562,0.0578
,,179.6875,0.1174,0.1437,0.0072,0.104,0.1273,0.0064
,,181.25,0.1389,0.2659,0.1198,0.122,0.2335,0.1052
,,182.8125,0.1916,0.2419,0.0623,0.1668,0.2106,0.0542
,,184.375,0.5796,0.3736,0.2443,0.5003,0.3225,0.2109
,,185.9375,0.2036,0.4024,0.1269,0.1743,0.3444,0.1086
,,187.5,0.558,0.3928,0.0551,0.4736,0.3334,0.0468
,,189.0625,0.2012,0.1724,0.1078,0.1694,0.1451,0.0907
,,190.625,0.3473,0.2156,0.0383,0.29,0.18,0.032
,,192.1875,0.8263,0.3353,0.0742,0.6843,0.2777,0.0614
,,193.75,0.6658,0.4191,0.1341,0.5469,0.3443,0.1102
,,195.3125,NaN,0.3257,0.1916,NaN,0.2654,0.1561
,,196.875,NaN,0.2467,0.091,NaN,0.1994,0.0736
,,198.4375,NaN,0.1269,0.0263,NaN,0.1018,0.0211
,,200,NaN,0.2323,0.1126,NaN,0.1849,0.0896
,,201.5625,NaN,0.4,0.2611,NaN,0.3158,0.2062
,,203.125,NaN,0.4119,0.0695,NaN,0.3227,0.0545
,,204.6875,NaN,0.2347,0.0168,NaN,0.1825,0.0131
,,206.25,NaN,0.0335,0.0431,NaN,0.0259,0.0333
,,207.8125,NaN,0.2299,0.0431,NaN,0.1761,0.033
,,209.375,NaN,0.4191,0.0575,NaN,0.3186,0.0437
,,210.9375,NaN,0.6083,0.1437,NaN,0.459,0.1084
,,212.5,0,0.2611,0.0814,0,0.1956,0.061
,,214.0625,0.1461,0.2395,0.0287,0.1086,0.1781,0.0213
,,215.625,0.3209,0.2299,0.0335,0.2369,0.1697,0.0247
,,217.1875,0.7952,0.4335,0.2012,0.5827,0.3177,0.1474
,,218.75,0.4934,0.3617,0.115,0.359,0.2632,0.0837
,,220.3125,0.5365,0.4455,0.1078,0.3876,0.3218,0.0779
,,221.875,0.0838,0.0359,0.012,0.0601,0.0258,0.0086
,,223.4375,0.6467,0.3114,0.0719,0.4606,0.2218,0.0512
,,225,0.1605,0.1126,0.0359,0.1135,0.0796,0.0254
,,226.5625,0.4503,0.2754,0.0766,0.3163,0.1935,0.0538
,,228.125,1.7173,1.0347,0.1748,1.1981,0.7219,0.122
,,229.6875,0.2443,0.1868,0.0742,0.1693,0.1294,0.0514
,,231.25,0.4982,0.2156,0.0431,0.3429,0.1484,0.0297
,,232.8125,0.206,0.0599,0.0048,0.1408,0.0409,0.0033
,,234.375,0.5437,0.2682,0.0647,0.3692,0.1821,0.0439
,,235.9375,0.4096,0.0814,0.0359,0.2763,0.0549,0.0242
,,237.5,0.3018,NaN,0.012,0.2022,NaN,0.008
,,239.0625,0.0742,NaN,0.0479,0.0494,NaN,0.0319
,,240.625,0.4215,NaN,0.0335,0.2788,NaN,0.0222
,,242.1875,0.5317,NaN,0.091,0.3494,NaN,0.0598
,,243.75,0.9724,NaN,0.0719,0.6349,NaN,0.0469
,,245.3125,0.9221,NaN,0.0575,0.5982,NaN,0.0373
,,246.875,0.2227,NaN,0.0814,0.1436,NaN,0.0525
,,248.4375,0.4766,NaN,0.0335,0.3053,NaN,0.0215
,,250,0.2754,NaN,0.0479,0.1753,NaN,0.0305
,,251.5625,0.1221,NaN,0.012,0.0772,NaN,0.0076
,,253.125,0.3712,NaN,0.0335,0.2334,NaN,0.0211
,,254.6875,0.5125,NaN,0.024,0.3203,NaN,0.015
,,256.25,0.3832,0.1892,0.0503,0.238,0.1175,0.0312
,,257.8125,0.1413,0.0479,0.0407,0.0872,0.0296,0.0251
,,259.375,0.1437,0.0838,0.0503,0.0882,0.0514,0.0309
,,260.9375,1.4514,0.6323,0.1365,0.8853,0.3857,0.0833
,,262.5,0.3569,0.0838,0.0838,0.2164,0.0508,0.0508
,,264.0625,0.5437,0.1581,0.0359,0.3277,0.0953,0.0216
,,265.625,0.2371,0.1485,0.0623,0.1421,0.089,0.0373
,,267.1875,0.2443,0.0647,0.0886,0.1455,0.0385,0.0528
,,268.75,0.5389,0.3042,0.0742,0.3191,0.1801,0.0439
,,270.3125,0.4072,0.0072,0.0623,0.2398,0.0042,0.0367
,,271.875,0.5748,0.1509,0.1245,0.3365,0.0883,0.0729
,,273.4375,0.4814,0.1174,0.1006,0.2802,0.0683,0.0586
,,275,0.4072,0.0719,0.0671,0.2357,0.0416,0.0388
,,276.5625,0.7736,0.2108,0.1174,0.4452,0.1213,0.0676
,,278.125,0.5844,0.1365,0.0383,0.3344,0.0781,0.0219
,,279.6875,0.5533,0.1796,0.103,0.3149,0.1022,0.0586
,,281.25,0.2898,0.1198,0.1293,0.164,0.0678,0.0732
,,282.8125,0.2491,0.0814,0.0407,0.1402,0.0458,0.0229
,,284.375,0.0886,0.1126,0.0263,0.0496,0.063,0.0147
,,285.9375,0.2419,0.1198,0.0766,0.1346,0.0667,0.0426
,,287.5,0.9173,0.3066,0.1748,0.5078,0.1697,0.0968
,,289.0625,0.2203,0.1365,0.0934,0.1213,0.0752,0.0514
,,290.625,0.3305,0.1341,0.0431,0.181,0.0734,0.0236
,,292.1875,0.2778,NaN,0.0263,0.1513,NaN,0.0143
,,293.75,0.3066,NaN,0.1221,0.1661,NaN,0.0662
,,295.3125,0.1653,NaN,0.2156,0.0891,NaN,0.1162
,,296.875,0.1102,NaN,0.0862,0.0591,NaN,0.0462
,,298.4375,0.1964,NaN,0.0407,0.1047,NaN,0.0217
,,300,0.2371,NaN,0.0431,0.1258,NaN,0.0229
,,301.5625,0.1174,NaN,0.1389,0.062,NaN,0.0733
,,303.125,0.3449,NaN,0.0647,0.1811,NaN,0.034
,,304.6875,0.3018,NaN,0.1293,0.1576,NaN,0.0675
,,306.25,0.1317,NaN,0.0359,0.0684,NaN,0.0187
,,307.8125,0.2659,NaN,0.0551,0.1375,NaN,0.0285
,,309.375,0.1509,0,0.0263,0.0776,0,0.0135
,,310.9375,0.285,0.2299,0.0407,0.1459,0.1177,0.0208
,,312.5,0.3497,0.2994,0.1509,0.1781,0.1525,0.0769
,,314.0625,0.0503,0.1629,0.0719,0.0255,0.0826,0.0364
,,315.625,0.3449,0.2611,0.0623,0.1739,0.1317,0.0314
,,317.1875,0.3952,0.2587,0.0335,0.1983,0.1298,0.0168
,,318.75,0.0862,0.1317,0.1006,0.043,0.0658,0.0502
,,320.3125,1.0251,0.8574,0.2419,0.5093,0.426,0.1202
,,321.875,0.0934,0.1078,0.0671,0.0462,0.0533,0.0332
,,323.4375,0.2012,0.024,0.1389,0.099,0.0118,0.0683
,,325,0.1078,0.0287,0.1102,0.0528,0.0141,0.054
,,326.5625,0.1221,0.0814,0.1006,0.0595,0.0397,0.049
,,328.125,0.0742,0.1605,0.3545,0.036,0.0778,0.1719
,,329.6875,0.0551,0.2299,0.2179,0.0266,0.111,0.1052
,,331.25,0.0766,0.1245,0.1748,0.0368,0.0598,0.084
,,332.8125,0.0431,0.1078,0.1724,0.0206,0.0516,0.0824
,,334.375,0.103,0.0862,0.1581,0.049,0.041,0.0753
,,335.9375,0.1006,0.1341,0.2227,0.0477,0.0635,0.1055
,,337.5,0.0958,0.0982,0.2251,0.0452,0.0463,0.1062
,,339.0625,0.0216,0.1892,0.2347,0.0101,0.0888,0.1102
,,340.625,0.0814,0.1509,0.1293,0.038,0.0705,0.0604
,,342.1875,0.0479,0.1509,0.1221,0.0223,0.0702,0.0568
,,343.75,0.0647,0.1533,0.024,0.03,0.071,0.0111
,,345.3125,0.1724,0.2491,0.2179,0.0795,0.1148,0.1004
,,346.875,0.0862,0.1653,0.0886,0.0396,0.0758,0.0407
,,348.4375,0.0982,0.1389,0.0263,0.0449,0.0634,0.012
,,350,0.0647,0.1102,0.0479,0.0294,0.0501,0.0218
,,351.5625,0.0814,0.1006,0.0934,0.0369,0.0455,0.0423
,,353.125,0.2395,0.206,0.1461,0.1079,0.0928,0.0658
,,354.6875,0.103,0.1126,0.024,0.0462,0.0505,0.0108
,,356.25,0.1269,0.1916,0.0144,0.0567,0.0856,0.0064
,,357.8125,0.079,0.0263,0.0479,0.0351,0.0117,0.0213
,,359.375,0.0503,0.0263,0.1174,0.0223,0.0116,0.052
,,360.9375,0.1916,0.1389,0.103,0.0845,0.0612,0.0454
,,362.5,0.0671,0.103,0.0623,0.0295,0.0452,0.0274
,,364.0625,0.1341,0.1485,0.1078,0.0586,0.0649,0.0471
,,365.625,0.1772,0.1221,0.1126,0.0771,0.0531,0.049
,,367.1875,0.1054,0.115,0.0862,0.0457,0.0498,0.0374
,,368.75,0.1724,0.2036,0.1389,0.0744,0.0879,0.06
,,370.3125,0.182,0.1485,0.103,0.0782,0.0638,0.0443
,,371.875,0.3377,0.2515,0.0862,0.1445,0.1076,0.0369
,,373.4375,0.0647,0.1317,0.0072,0.0276,0.0561,0.0031
,,375,NaN,0.0335,0.0766,NaN,0.0142,0.0325
,,376.5625,NaN,0.1533,0.0623,NaN,0.0648,0.0263
,,378.125,NaN,0.182,0.091,NaN,0.0766,0.0383
,,379.6875,NaN,0.1677,0.0814,NaN,0.0703,0.0341
,,381.25,NaN,0.0527,0.024,NaN,0.022,0.01
,,382.8125,NaN,0.0886,0.0072,NaN,0.0368,0.003
,,384.375,NaN,0.024,0.0383,NaN,0.0099,0.0159
,,385.9375,NaN,0.1437,0.0575,NaN,0.0593,0.0237
,,387.5,NaN,0.0814,0.0575,NaN,0.0334,0.0236
,,389.0625,NaN,0.0623,0.0431,NaN,0.0255,0.0176
,,390.625,NaN,0.0359,0.0263,NaN,0.0146,0.0107
,,392.1875,0,0.1126,0.0551,0,0.0457,0.0224
,,393.75,0.0311,0.0311,0.0072,0.0126,0.0126,0.0029
,,395.3125,0.273,0.2802,0.079,0.1099,0.1128,0.0318
,,396.875,0.2682,0.3712,0.0862,0.1076,0.1489,0.0346
,,398.4375,0.0503,0.0671,0.012,0.0201,0.0268,0.0048
,,400,0.0671,0.0742,0.0168,0.0267,0.0295,0.0067
,,401.5625,0.0886,0.1437,0.0671,0.0351,0.057,0.0266
,,403.125,0.0431,0.0551,0.0335,0.017,0.0218,0.0132
,,404.6875,0.3138,0.1365,0.079,0.1234,0.0537,0.0311
,,406.25,0.0862,0.0958,0.0479,0.0338,0.0375,0.0188
,,407.8125,0.0982,0.0982,0.0335,0.0383,0.0383,0.0131
,,409.375,0.0072,0.0575,0.0383,0.0028,0.0224,0.0149
,,410.9375,0.0048,0.0575,0.0144,0.0019,0.0223,0.0056
,,412.5,0.479,0.3832,0.1892,0.1848,0.1479,0.073
,,414.0625,0.0719,0.0671,0.0671,0.0276,0.0258,0.0258
,,415.625,0.0383,0.091,0.0335,0.0147,0.0348,0.0128
,,417.1875,0.079,0.0647,0.0479,0.0301,0.0247,0.0183
,,418.75,0.0766,0.0431,0.0359,0.0291,0.0164,0.0136
,,420.3125,0.0503,0.1485,0.0623,0.019,0.0562,0.0236
,,421.875,0.0814,0.0814,0.0168,0.0307,0.0307,0.0063
,,423.4375,0.1772,0.1389,0.024,0.0666,0.0522,0.009
,,425,0.0695,0.0359,0.0575,0.026,0.0134,0.0215
,,426.5625,0.103,0.0479,0.0144,0.0384,0.0179,0.0054
,,428.125,0.115,0.0359,0.0527,0.0428,0.0133,0.0196
,,429.6875,0.1892,0.0886,0.079,0.0701,0.0328,0.0293
,,431.25,0.1964,0.1581,0.1006,0.0725,0.0583,0.0371
,,432.8125,0.1509,0.1341,0.1341,0.0555,0.0493,0.0493
,,434.375,0.1245,0.0719,0.0359,0.0456,0.0263,0.0132
,,435.9375,0.0479,0.0192,0.0551,0.0175,0.007,0.0201
,,437.5,0.0982,0.0527,0.091,0.0357,0.0192,0.0331
,,439.0625,0.1557,0.1796,0.1509,0.0564,0.0651,0.0547
,,440.625,0.1341,0.1078,0.103,0.0484,0.0389,0.0372
,,442.1875,0.0862,0.0168,0.0623,0.031,0.006,0.0224
,,443.75,0.0742,0.0862,0.0359,0.0266,0.0309,0.0129
,,445.3125,0.1245,0.1102,0.1796,0.0445,0.0394,0.0642
,,446.875,0.0503,0.0216,0.1293,0.0179,0.0077,0.0461
,,448.4375,0.0479,0.0168,0.1485,0.017,0.006,0.0527
,,450,0.0359,0.0144,0.091,0.0127,0.0051,0.0322
,,451.5625,0.0934,0.0695,0.0551,0.0329,0.0245,0.0194
,,453.125,0.0551,0.0742,0.0431,0.0194,0.0261,0.0151
,,454.6875,0.0383,0.0287,0.103,0.0134,0.01,0.0361
,,456.25,0.0072,0.0431,0.1293,0.0025,0.015,0.0451
,,457.8125,0.0407,0.0335,0.024,0.0141,0.0116,0.0083
,,459.375,0.0168,0.0287,0.1269,0.0058,0.0099,0.044
,,460.9375,0.0671,0.0599,0.0383,0.0232,0.0207,0.0132
,,462.5,0.0168,0.0287,0.0647,0.0058,0.0099,0.0223
,,464.0625,0.1006,0.1293,0.1509,0.0345,0.0443,0.0518
,,465.625,0.012,0.012,0.0311,0.0041,0.0041,0.0106
,,467.1875,0.091,0.0431,0.091,0.031,0.0147,0.031
,,468.75,0.0527,0.024,0.079,0.0179,0.0081,0.0268
,,470.3125,0.0527,0.0814,0.0216,0.0178,0.0275,0.0073
,,471.875,0.0719,0.1126,0.1006,0.0243,0.038,0.0339
,,473.4375,0.0216,0.0192,0.0479,0.0073,0.0065,0.0161
,,475,0.0479,0.0216,0.0695,0.016,0.0072,0.0233
,,476.5625,0.0599,0.0671,0.0838,0.02,0.0224,0.028
,,478.125,0.0263,0.0335,0.0359,0.0088,0.0112,0.012
,,479.6875,0.115,0.1509,0.0719,0.0382,0.0501,0.0239
,,481.25,0.0814,0.1581,0.0263,0.0269,0.0523,0.0087
,,482.8125,0.0838,0.0886,0.0431,0.0276,0.0292,0.0142
,,484.375,0.0335,0.024,0.079,0.011,0.0079,0.026
,,485.9375,0.0431,0.0766,0.0335,0.0141,0.0251,0.011
,,487.5,0.0335,0.0647,0.024,0.0109,0.0211,0.0078
,,489.0625,0.0335,0.0695,0.1054,0.0109,0.0226,0.0343
,,490.625,0.012,0.0263,0.0742,0.0039,0.0085,0.0241
,,492.1875,0.0551,0.0168,0.0695,0.0178,0.0054,0.0225
,,493.75,0.0287,0.0335,0.0623,0.0093,0.0108,0.0201
,,495.3125,0.012,0.0383,0.0192,0.0039,0.0123,0.0062
,,496.875,0.0551,0.1198,0.0838,0.0176,0.0384,0.0268
,,498.4375,0.0503,0.024,0.0575,0.0161,0.0077,0.0184
,,500,0.0192,0.0168,0.0527,0.0061,0.0053,0.0168
,,501.5625,0.0335,0.024,0.0335,0.0106,0.0076,0.0106
,,503.125,0.0383,0.0144,0.0551,0.0121,0.0046,0.0174
,,504.6875,0.0144,0.0311,0.0287,0.0045,0.0098,0.0091
,,506.25,0.0192,0.0527,0.0431,0.006,0.0166,0.0135
,,507.8125,0.0311,0.0551,0.0814,0.0097,0.0173,0.0255
,,509.375,0.0144,0.0359,0.0766,0.0045,0.0112,0.0239
,,510.9375,0.0407,0.0862,0.0072,0.0127,0.0269,0.0022
,,512.5,0.012,0.012,0.0383,0.0037,0.0037,0.0119
,,514.0625,0.0479,0.0575,0.0263,0.0148,0.0178,0.0081
,,515.625,0.0695,0.1317,0.0862,0.0215,0.0407,0.0266
,,517.1875,0.0527,0.091,0.0862,0.0162,0.028,0.0265
,,518.75,0.0048,0.0359,0.0503,0.0015,0.011,0.0154
,,520.3125,0.0431,0.0335,0.0814,0.0132,0.0102,0.0249
,,521.875,0.0623,0.1221,0.1006,0.019,0.0372,0.0307
,,523.4375,0.0647,0.0766,0.0144,0.0197,0.0233,0.0044
,,525,0.0335,0.0144,0.0216,0.0102,0.0044,0.0065
,,526.5625,0.0503,0.0144,0.0287,0.0152,0.0044,0.0087
,,528.125,0.0144,0.0671,0.0287,0.0043,0.0202,0.0086
,,529.6875,0.0287,0.024,0.0359,0.0086,0.0072,0.0108
,,531.25,0.0263,0.0455,0.0503,0.0079,0.0136,0.0151
,,532.8125,0.0144,0.0335,NaN,0.0043,0.01,NaN
,,534.375,0.012,0.0311,NaN,0.0036,0.0093,NaN
,,535.9375,0.0144,0.0431,NaN,0.0043,0.0128,NaN
,,537.5,0.0168,0.0359,NaN,0.005,0.0106,NaN
,,539.0625,0.0431,0.0144,NaN,0.0127,0.0043,NaN
,,540.625,0.0527,0.0407,NaN,0.0155,0.012,NaN
,,542.1875,0.0527,0.0263,NaN,0.0155,0.0077,NaN
,,543.75,0.0287,0.0192,NaN,0.0084,0.0056,NaN
,,545.3125,0.0431,0.0048,NaN,0.0126,0.0014,NaN
,,546.875,0.0527,0.0359,NaN,0.0153,0.0104,NaN
,,548.4375,0.1293,0.0814,NaN,0.0375,0.0236,NaN
,,550,0.024,0.0216,0,0.0069,0.0063,0
,,551.5625,0.0623,0.0383,0.0719,0.018,0.0111,0.0207
,,553.125,0.0359,0.0335,0.0527,0.0103,0.0096,0.0152
,,554.6875,0.0383,0.0383,0.0335,0.011,0.011,0.0096
,,556.25,0.0766,0.0623,0.0958,0.0219,0.0178,0.0274
,,557.8125,0.0072,0.0072,0.0144,0.0021,0.0021,0.0041
,,559.375,0.0551,0.0431,0.0575,0.0157,0.0123,0.0164
,,560.9375,0.0623,0.024,0.0719,0.0177,0.0068,0.0204
,,562.5,0.0216,0.0072,0.0335,0.0061,0.002,0.0095
,,564.0625,0.079,0.0335,0.091,0.0223,0.0095,0.0257
,,565.625,0.0263,0.0072,0.0671,0.0074,0.002,0.0189
,,567.1875,0.0742,0.0671,0.091,0.0208,0.0188,0.0255
,,568.75,0.0527,0.0383,0.1006,0.0147,0.0107,0.0282
,,570.3125,0.0168,0.0335,0.0383,0.0047,0.0093,0.0107
,,571.875,0.0359,0.0168,0.0311,0.01,0.0047,0.0087
,,573.4375,0.024,0.0599,0.1054,0.0067,0.0166,0.0293
,,575,0.0527,0.0599,0.1126,0.0146,0.0166,0.0312
,,576.5625,0.0742,0.0383,0.1174,0.0205,0.0106,0.0324
,,578.125,0.0216,0.0192,0.0671,0.0059,0.0053,0.0185
,,579.6875,0.024,0.0287,0.0144,0.0066,0.0079,0.004
,,581.25,0.0216,0.0168,0.1269,0.0059,0.0046,0.0347
,,582.8125,0.0407,0.024,0.0742,0.0111,0.0066,0.0203
,,584.375,0.0216,0.0263,0.0551,0.0059,0.0072,0.015
,,585.9375,0.0216,0.0144,0.0359,0.0059,0.0039,0.0098
,,587.5,0.0144,0.0168,0.0216,0.0039,0.0046,0.0059
,,589.0625,0.0216,0.0192,0.0814,0.0058,0.0052,0.022
,,590.625,0.0216,0.0072,0.0287,0.0058,0.0019,0.0077
,,592.1875,0.0168,0.0048,0.091,0.0045,0.0013,0.0245
,,593.75,0.0144,0.0168,0.024,0.0039,0.0045,0.0064
,,595.3125,0.0335,0.0359,0.0742,0.009,0.0096,0.0198
,,596.875,0.0311,0.0263,0.0431,0.0083,0.007,0.0115
,,598.4375,0.012,0.012,0.0144,0.0032,0.0032,0.0038
,,600,0.024,0.0216,0.091,0.0064,0.0057,0.0241
,,601.5625,0.024,0.0263,0.0431,0.0063,0.007,0.0114
,,603.125,0.0216,0.0216,0.0335,0.0057,0.0057,0.0088
,,604.6875,0.0287,0.012,0.0287,0.0076,0.0032,0.0076
,,606.25,0.012,0.012,0.0144,0.0032,0.0032,0.0038
,,607.8125,0.0192,0.0216,0.0623,0.005,0.0057,0.0163
